"LineNumber","Line"
"4370","\qt{子题：若新卷出现“水击/关阀/压力升高”。}"
"4372","\qt{子题：若新卷出现“阻力系数图/小球沉降/终速”。}"
"4374","\qt{子题：若新卷出现“斜激波/PM 膨胀角度”。}"
"4377","\ans{粗糙圆管放水/油层流判定：母题1+6，先能量求 $Q$ 或压降，再 $Re$ 判层湍，层流可回到 H--P/抛物线。氦气球/球体受风：母题7+9，受力平衡 $D$、浮力、重力，$D=C_DqA$，$C_D$ 由 $Re$ 和阻力危机判断。势流绕圆柱/偶极子/环量：母题4，写 $\psi=U(r-a^2/r)\sin\theta-\Gamma\ln r/(2\pi)$，表面速度、伯努利、升力 $L'=\rho U\Gamma$。Laval+水银计+激波：母题5，喉部阻塞、面积--马赫双支、三个背压界限、激波后总压换段。}"
"4378","\qt{子题：题目图片很复杂时，先删掉无关细节。}"
"4393","\mt{母题11 短问综合题：静水/CV/势流/相似也按完整题链写}"
"4396","\qt{子题：平面闸门/倾斜闸门完整落笔链。}"
"4398","\qt{子题：曲面受压/水箱盖/弧形门完整落笔链。}"
"4400","\qt{子题：U 管/多管测压计/油水水银分层。}"
"4402","\qt{子题：弯管/喷嘴/消防水枪支座力。}"
"4404","\qt{子题：射流冲击固定/运动平板、叶片、水轮机。}"
"4406","\qt{子题：势流基本流完整表，遇到源/汇/涡/偶极子直接抄。}"
"4408","\qt{子题：Rankine 半体/源汇与壁面镜像。}"
"4410","\qt{子题：圆柱绕流/有环量/机翼升力完整链。}"
"4412","\qt{子题：量纲分析/模型实验完整链。}"
"4414","\qt{子题：明渠/弗劳德数/浅水波如果出现怎么拿分。}"
"4416","\qt{子题：管内入口段/边界层增长/充分发展判别。}"
"4418","\qt{子题：湍流壁面律/摩擦速度题完整链。}"
"4420","\qt{子题：N-S 简化题的统一删项法。}"
"4422","\qt{子题：如果老师问“为什么应力张量对称”。}"
"4425","\mt{母题12 守恒律与物质模型概念题：从假设到控制方程}"
"4428","\qt{子题：物质模型三分法，静止/不可压无粘/可压无粘/不可压有粘。}"
"4430","\qt{子题：Re 的物理意义与层流/湍流判别。}"
"4432","\qt{子题：N-S 方程、RANS、LES、DNS 课件概念怎么写。}"
"4434","\qt{子题：边界层理论为什么成立，外场和内层怎么分。}"
"4436","\qt{子题：层流边界层、湍流边界层、混合边界层区别。}"
"4438","\qt{子题：激波总图，正激波/斜激波/脱体激波。}"
"4440","\qt{子题：PM函数入口/PM最大转角/PM膨胀波/小扰动等熵波。}"
"4442","\qt{子题：Laval喷管状态图/Laval喷管状态母题/Laval背压状态树，看到图就写什么。}"
"4444","\qt{子题：势流最后课件总图，基本方程和可叠加性。}"
"4446","\qt{子题：达朗贝尔佯谬和库塔--儒可夫斯基定理。}"
"4448","\qt{子题：管内流动从 N-S 到工程损失怎么串。}"
"4450","\qt{子题：老师若考“为什么水火箭/列车吸力/旋涡液面下降”等现实解释。}"
"4452","\qt{子题：开卷资料如果遇到新大题，答案模板怎样排版。}"
"4454","\qt{子题：六页索引版极简地图。}"
"4457","\mt{母题13 2006 期末四大综合题：按完整题干压缩成可套写链}"
"4459","\qt{子题：粗糙圆管放水出流。题干：水池有 $20^\circ$C 水 $1$m$^3$，底部接相对粗糙度约 $\varepsilon/D=0.0012$ 的粗糙圆管，求出口流量 $Q$；若流体换为 SAE 10W30 油，问圆管出口层流还是湍流。}"
"4462","\qt{子题：氦气球系留角。题干：充满氦气的球由细线拴于地面，线重和阻力忽略；环境空气 $20^\circ$C、1 atm；不含氦时材料重 $0.2$N；球内氦气压 $120$kPa、直径 $d=0.5$m；风速 $U=4$m/s 和 $24$m/s，求线与竖直夹角 $\theta$。}"
"4466","\qt{子题：水绕圆柱势流。题干：$20^\circ$C 水以 $U=5$m/s 流过直径 $1.2$m 圆柱，求模拟此流动的偶极子强度；若远处静压 $p_\infty=150$kPa，用无粘理论给 $\theta=180^\circ,135^\circ,90^\circ$ 处圆柱表面压力；若圆柱有环量 $\Gamma$，求使 $\theta=35^\circ,145^\circ$ 处为驻点的 $\Gamma$。}"
"4470","\qt{子题：Laval 汞柱真题。题干：空气流过连接两大气源的 Laval 喷管，喉部到下游气源接水银压差计，$h=15$cm，左侧喉部端水银面较低；上游 $T_0=100^\circ$C，$p_0=300$kPa；$A_t=10$cm$^2$，$A_e=30$cm$^2$。求 $p_b$；判正激波及位置；若精确设计超声速运行，汞柱高为多少。}"
"4475","\mt{母题14 泵吸水/水轮机/虹吸/并联管路工程题}"
"4477","\qt{子题：零攻角平板边界层厚度与单面摩擦阻力。题干：来流 $U$ 绕过零攻角平板，长 $L$、宽 $b$，给空气或水的 $\rho,\nu$，求单面摩擦阻力和尾部边界层名义厚度，临界 $Re_{cr}=5\times10^5$。}"
"4480","\qt{子题：管内湍流壁面律厚度。题干：管径 $d$，平均速度 $\bar u$，运动黏度 $\nu$ 或 $\mu,\rho$，求壁面线性底层、缓冲层、完全湍流层厚度；提示 $\bar u/u_\tau=2.5\ln(Ru_\tau/\nu)+1.75$。}"
"4483","\qt{子题：两层 Couette。题干：下板固定，上板速度 $U$，两层不可混流体厚度 $h_1,h_2$，黏度 $\mu_1,\mu_2$，无压差，求速度分布和剪应力。}"
"4486","\qt{子题：倾斜平板间层流。题干：两无限平行平板间距 $H$，倾角 $\theta$，流体密度 $\rho$、黏度 $\mu$，下板固定，上板以 $U_0$ 向上运动，沿流向无压差，且 $H/2$ 处速度为0，求 $U_0$ 和上下壁切应力。}"
"4489","\qt{子题：速度场/应力张量综合。题干：给 $u,v,w$ 判不可压/无旋，或给应力张量 $P$ 和单位法向 $\bm n$ 求面力、法向/切向分量。}"
"4492","\qt{子题：非定常 U 型管水柱振荡。题干：等截面开口 U 型管总长 $L$，初始两液面差 $h_0$，忽略黏性，求振动规律、周期和速度。}"
"4494","\qt{子题：证明/概念题压缩答案。题干：证明势函数/流函数满足 Laplace 方程、说明达朗贝尔佯谬、说明边界层分离、说明激波总压损失。}"
"4497","\mt{母题15 跨章混合题：势流/可压/粘性按条件反推}"
"4499","\qt{子题：非定常伯努利条件与 U 管/膨胀球。题干出现“非定常、无旋、速度势、液柱振荡、球半径随时间变”。}"
"4502","\qt{子题：流线、迹线、脉线、速度环量。题干给速度场 $u(x,y,t),v(x,y,t)$ 或极坐标闭合路径。}"
"4504","\qt{子题：源汇涡叠加找驻点和分界线。题干有“点源/点汇/均匀流/壁面抽吸/Rankine 半体”。}"
"4506","\qt{子题：书 5.x 常见圆柱/开孔/浮起变式。题干有半圆柱在水底、上方来流、开孔使内外压相等、求最小浮起速度。}"
"4508","\qt{子题：斜激波和PM连算：正激波/斜激波/PM 的题干分流。}"
"4511","\qt{子题：Fanno等截面摩擦管。题干给等截面、绝热、有摩擦、管长或极限长度时用。}"
"4513","\qt{子题：7.19 管外膨胀角。题干给 Laval 出口面积比 $A_e/A_t$、$p_0$、$p_b$，要求证明管外膨胀并求出口压力和膨胀角。}"
"4515","\qt{子题：7.20 管内正激波定位。题干给 $A_e/A_t$、某截面 $A_s$ 或背压，图中激波在扩张段。}"
"4518","\qt{子题：Stokes 小球沉降/浮起。题干有小球、$Re<1$、终速度、黏度。}"
"4521","\qt{子题：外绕球/圆柱阻力图。题干有气球、球、圆柱、风速、阻力危机、拖曳。}"
"4523","\qt{子题：文丘里/孔板/流量计。题干有压差计、收缩截面、求 $Q$。}"
"4525","\qt{子题：开卷资料使用时的“写过程分最低配置”。}"
"4528","\mt{母题16 孔口文丘里/水击水波/明渠/RTT非常规水力题}"
"4532","\qt{子题：水击/阀门突然关闭。题干有长管、阀门、水锤、压力升高或波速 $a$。}"
"4534","\qt{子题：孔口/薄壁小孔/堰流。题干有水箱侧壁小孔、自由出流、孔口系数、求流量或排空时间。}"
"4536","\qt{子题：浮体稳定/比重计。题干有漂浮、倾斜、小角稳定、重心 $G$、浮心 $B$、定倾中心 $M$。}"
"4538","\qt{子题：RTT/系统到控制体。题干要求由系统守恒推控制体方程，或问流入流出通量。}"
"4540","\qt{子题：曲线流动法向压强梯度。题干有弯曲流线、自由涡/强迫涡、旋转水面。}"
"4542","\qt{子题：Bernoulli 禁用/改用机械能。题干问为什么不能直接用，或有泵、损失、激波、黏性、非定常。}"
"4544","\qt{子题：面积--马赫完整落笔链。题干给 $A/A^*$、喉部、出口面积、设计工况或背压。}"
"4546","\qt{子题：查表动作标准写法。题干要求 Moody、正激波表、斜激波表、PM 表、阻力系数图。}"
"4548","\qt{子题：一页内找不到题时的逆向索引。}"
"4549","\ans{有液面和管：母题1；有闸门/曲面/浮体：母题2；有喷嘴/弯管/射流/叶片：母题3；有 $\phi,\psi,\Gamma$、圆柱、镜像：母题4；有 $Ma,p_0,T_0,A^*,p_b$：母题5；有两平板、圆管层流、N-S 删项：母题6；有平板阻力、外绕球柱、沉降：母题7；有速度场、应力张量：母题8；有量纲、模型、水击、浅水波：母题9/16；有解释证明：母题10/12。落笔先写母题名，至少能拿模型分。}"
"4551","\mt{母题17 测压计/U管/自由涡/外绕阻力零碎计算题}"
"4554","\qt{子题：多液体测压计/U形管。题干有水、油、汞、两点压差或管道压强。}"
"4556","\qt{子题：闸门/弧形门/曲面受压。题干给矩形门、圆弧门、铰链、求合力和力矩。}"
"4558","\qt{子题：控制体弯管支座力。题干给弯头、入口出口压力、直径、流量、角度、求支座反力。}"
"4560","\qt{子题：喷流冲击平板/叶片。题干有射流直径、速度、固定板、运动板、叶片角。}"
"4562","\qt{子题：不可压缩无旋线性速度场与势/流函数。题干给 $u(x,y),v(x,y)$ 或线性速度场 $u=Ax+By,\ v=Cx+Dy$。}"
"4564","\qt{子题：圆柱/半圆柱气膜馆升力。题干给半径 $a$、风速 $U$、内压、求表面压力或升力。}"
"4566","\qt{子题：收缩喷管流量/阻塞。题干给大容器 $p_0,T_0$、出口面积、背压 $p_b$，求流量。}"
"4568","\qt{子题：Laval 管内激波完整写法。题干给 $A_t,A_e,p_0,T_0,p_b$ 或激波位置。}"
"4570","\qt{子题：Hagen--Poiseuille 圆管层流。题干有充分发展层流、圆管、压降、壁剪、平均速度。}"
"4572","\qt{子题：平板边界层/外绕阻力混合题。题干有来流、板长宽、临界 $Re_{cr}$、求阻力。}"
"4574","\qt{子题：量纲分析/相似换算。题干要求“用 Buckingham $\pi$ 定理”或模型实验。}"
"4576","\qt{子题：最后三分钟检查清单。}"
"4579","\mt{母题18 概念证明保分题：不会推时也按四句过程写}"
"4583","\qt{子题：看到“证明/说明/物理意义”时的固定四句。}"
"4585","\qt{子题：看到“为什么有升力/吸力/压力降低”时的固定链。}"
"4587","\qt{子题：看到“方向/符号”不确定时的固定处理。}"
"4589","\qt{子题：看到“换一种流体/换速度/换尺寸”时的固定处理。}"
"4591","\qt{子题：整张六页的使用顺序。}"
"4592","\ans{第一遍看题图：液面管路找母题1，闸门浮体找2，控制体受力找3，势流圆柱找4，可压喷管激波找5，黏性N-S找6，边界层阻力找7，应力速度场找8，量纲水击找9/16，概念解释找10/12/18。第二遍按该母题下的真题/子题抄流程。第三遍补单位、方向、表压绝压、查表输入输出。}"
"4594","\mt{母题19 单位量级与反查收口：防止最后一步丢分}"
"4597","\qt{子题：常数和默认物性，题干没特别说明时这样写。}"
"4599","\qt{子题：常见反查式，题目给结果反求条件。}"
"4601","\qt{子题：答案最后一句模板，避免看起来没收口。}"
"4603","\mt{母题20 高频漏题完整题干链压缩题}"
"4606","\qt{子题：应力张量求任意斜面应力。题干给 $P=(p_{ij})$ 和单位法向 $\bm n$，求斜面应力、法向分量、切向分量、夹角。}"
"4608","\qt{子题：速度场判连续/有旋/求 $\phi,\psi$。题干给二维 $u(x,y),v(x,y)$，问是否不可压、是否无旋、写流函数/势函数。}"
"4610","\qt{子题：点源/点汇/点涡/偶极子叠加。题干出现均匀流、源汇、驻点、分界流线、半体、Rankine 体。}"
"4612","\qt{子题：镜像法壁面势流。题干有无限平壁、点源/点涡靠近壁面，要求满足壁面不穿透。}"
"4614","\qt{子题：U形管水柱自由振荡。题干有等截面U管、总液柱长 $L$、初始液面差 $h_0$，忽略黏性。}"
"4616","\qt{子题：圆管近壁层厚度。题干给管径 $d$、截面平均时均速度 $\bar u$、运动黏度 $\nu$，提示 $\bar u/u_\tau=2.5\ln(Ru_\tau/\nu)+1.75$。}"
"4618","\qt{子题：零攻角平板边界层阻力。题干给 $U,L,b,\nu,\rho,Re_{cr}$，比较空气/水绕流阻力和尾部边界层名义厚度。}"
"4620","\qt{子题：量纲分析标准落笔。题干说“试用量纲分析推导阻力/压降/周期关系”。}"
"4622","\qt{子题：表压/绝压与测压计。题干给大气压、真空度、汞柱/水柱高、入口至少高于汽化压。}"
"4624","\qt{子题：泵、水轮机、机械功率符号。题干有泵功率、水轮机输出、扬程、效率。}"
"4626","\qt{子题：低速气体能否当不可压。题干给飞机/管道气体速度和声速，问密度变化或压缩性。}"
"4628","\qt{子题：激波/膨胀波概念判断。题干问为什么总压下降、为什么膨胀降压、什么时候用 PM。}"
"4630","\qt{子题：两层 Couette 流。题干给下层厚 $h_1,\mu_1$、上层厚 $h_2,\mu_2$，下板固定、上板速度 $U$，求速度和剪应力。}"
"4632","\qt{子题：倾斜平板间层流。题干给板间距 $H$、倾角 $\theta$、上板速度 $U_0$、中面速度为0，求 $U_0$ 与壁面剪应力。}"
"4634","\qt{子题：并联/分支管路。题干有两条支路连接同两节点，给总流量或水头差，求各支路流量。}"
"4636","\qt{子题：虹吸管/最高点压强。题干有水池、管越过高点、出口低于水面，问能否虹吸或最高点高度。}"
"4638","\qt{子题：闸门力矩/拉杆力。题干给矩形或圆弧闸门、铰点、拉杆方向，求拉力。}"
"4640","\qt{子题：动量矩/叶轮功率。题干给叶轮半径、转速、入口出口速度三角形，求转矩或功率。}"
"4642","\qt{子题：PM 膨胀角完整写法。题干给超声速绕凸角、出口欠膨胀、求膨胀角或转角。}"
"4644","\qt{子题：平板摩擦阻力与边界层尾厚。题干给 $U,L,b,\rho,\nu$，比较空气和水或单/双面阻力。}"
"4646","\qt{子题：老师终课图的三类物质模型。题干问“为什么这章用这个方程”。}"
"4648","\mt{母题21 管路/泵阀/粗糙度题型总包：把 PVZ 从题干写到答案}"
"4651","\qt{子题：两油箱变径管15分题完整链。题干：两油箱液面差$h$，前段直径$d_1$、后段$d_2$，入口出口在液面以下，中间突扩，给$s,\mu$，求短管流量和A/B压强，长管给$Q,L_1,L_2,e$反求液面差。}"
"4653","\qt{子题：离心泵吸水安装高度。题干：吸水管长$L$、直径$d$、粗糙度$e$、弯头/入口阀$\zeta$、流量$Q$、汽化压$p_v$，要求泵中心高出水面最大$h$。}"
"4655","\qt{子题：水轮机输出功率。题干：上下游水面高差、管径管长、粗糙度、平均流速或流量、下游压力表，忽略或计局部损失，求水轮机输出功率。}"
"4657","\qt{子题：串联/并联管路。题干：多管段、不同直径、分支汇合、给总流量或两端水头差。}"
"4659","\qt{子题：粗糙度/Colebrook/Moody 写法。题干给镀锌钢管、铸铁管、粗糙度$e$或$e/d$，要求沿程损失或压降。}"
"4661","\qt{子题：管路压力表/测压管读数。题干：管内某点接压强计或U形压差计，要求该点压强或压差。}"
"4663","\qt{子题：管道受力/弯头支座反力。题干：弯管、喷嘴、变径管，给入口出口压力和流量，求固定支座受力。}"
"4665","\qt{子题：水池底部放水管/普通出流。题干：水池到大气出口，给水头$H$、管长直径、入口/弯头/阀/出口损失，求$Q$。}"
"4667","\qt{子题：泵阀管路第一行怎么写。题干复杂到不会下手时。}"
"4669","\mt{母题22 组合题拆题链：一题多模型时不要混用方程}"
"4671","\qt{子题：管路末端接喷嘴/射流冲板。题干：水池经管道到喷嘴，喷流打固定板或叶片，求流量、喷嘴反力、板受力。}"
"4672","\ans{先用母题21从水池到喷嘴出口求$Q,V_e$和出口压力；若出口自由射流，$p_e=0$表压。再取喷流/板为CV用动量：固定平板法向力近似$F=\rho QV_e$；若射流折转角$\theta$，用矢量式$\sum F_x=\dot m(V_{2x}-V_{1x}),\sum F_y=\dot m(V_{2y}-V_{1y})$。检查：管路损失影响$V_e$，但打板力不再用能量方程直接算。}"
"4673","\qt{子题：势流求压后再求结构受力。题干：圆柱/半圆柱/气膜馆外绕流，内部压力给定，求升力或是否掀起。}"
"4674","\ans{先由势流母题4求表面速度，例如圆柱无环量$V_\theta=-2U\sin\theta$；再由定常Bernoulli求外压$p_{\rm out}=p_\infty+\rho(U^2-V_s^2)/2$；净压$p_{\rm in}-p_{\rm out}$沿表面积分，竖向分量乘$\sin\theta$或按投影取。检查：势流给的是理想外压分布；若题问真实阻力，必须说明黏性分离会改变阻力。}"
"4675","\qt{子题：Laval喷管题再接管外波系。题干：已知$A_e/A_t,p_0,p_b$，问管内是否激波、出口是否欠/过膨胀、管外有何波。}"
"4676","\ans{先按母题5求设计超声支出口压$p_e$和出口$M_e$。若$p_b=p_e$设计匹配；若$p_b>p_e$，出口外压较高，管外出现压缩波/斜激波或管内激波；若$p_b<p_e$，出口欠膨胀，管外出现膨胀扇，PM继续算到$p_b$。检查：判断管内激波先比较临界背压；判断管外波系看内部出口静压 $p_e$ 与外界背压 $p_b$，二者不是同一个量。}"
"4677","\qt{子题：黏性层流速度分布再接流量/阻力/功率。题干：先要求$u(y)$或$u(r)$，再问$Q,\tau,F,P$。}"
"4678","\ans{先用母题6删N--S得速度分布；再按定义积分$Q=\int_Au\,dA$，平均速度$\bar u=Q/A$，壁剪$\tau_w=\mu(\partial u/\partial n)_w$，阻力$F=\tau_wA_w$，拖动功率$P=FU$。检查：不要先背$Q$公式再反推速度；题要“证明”时必须从微分方程和边界条件开始。}"
